Principle,Main Characteristics,Do's,Don'ts,Platforms/Classification,Severity
Gradual Engagement,Allowing users to feel benefits before asking for investment or personal data.,Let users engage with core features or browse products before asking them to sign up or log in.,Don't present registration/sign-in as a roadblock at the start of the experience.,Web and Mobile UIs,Critical - High impact on user acquisition and initial conversion.
Simple and Intuitive Use,"Use of the design is easy to understand, regardless of experience, knowledge, or language skills.",Eliminate unnecessary complexity; be consistent with user expectations and intuition.,Not in source,Universal Design Principle 3,Critical - Directly affects user abandonment and conversion rates.
Perceptible Information,The design communicates necessary information effectively to the user regardless of conditions.,"Use different modes (pictorial, verbal, tactile) for redundant presentation of essential information.",Not in source,Universal Design Principle 4,Critical - Essential for navigating the purchase funnel.
Early and Continuous Delivery,Highest priority is satisfying the customer through early delivery of valuable software.,Release updates frequently to meet changing customer needs.,Do not prioritize internal feature lists over actual customer satisfaction.,Agile Principle 1,Critical - Direct impact on customer satisfaction and revenue.
Technical Excellence and Good Design,Continuous attention to good design enhances agility.,Continuously refine the design throughout the cycle based on feedback.,Do not settle on a design specification and refuse to revisit it during implementation.,Agile Principle 9,Critical - Good design is essential for market success and usability.
Regular Reflection (Retrospectives),Team reflects on how to become more effective and adjusts behavior.,Identify areas where design-dev communication failed and propose specific fixes.,Do not skip retrospectives or ignore team feedback regarding the design process.,Agile Principle 12,Critical - Necessary for the survival and improvement of the Agile process.
Visual Identification of Action,The visual design of a button should clearly indicate its interactivity to avoid confusion with non-actionable elements.,Make the button stand out; use familiar shapes like rectangles or rounded rectangles.,Do not remove so many elements that the function dissolves; do not use organic or irregular shapes that take longer to identify.,Ecommerce / Universal UI,Critical (Impacts conversion)
Adequate Touch/Click Area,Interactive elements must be large enough to be easily activated by fingers or cursors.,Start with a minimum of  $44 \times 44$  points for mobile; target 50 points for mobile buttons; use  $32 \times 32$  for cursor-based devices.,"Do not design buttons that are too small, which leads to user frustration and app uninstalls.",Mobile / Web / Ecommerce,Critical (Task completion)
Minimize Transitional Volatility,The degree of reorientation a person experiences when moving between pages/touchpoints.,Ensure consistency across touchpoints so users don't have to bridge gaps in the offering themselves.,Don't force people to reorient constantly; high volatility leads to users feeling lost in 'hyperspace'.,Ecommerce Navigation / UX,Critical
Graceful Error Handling,Comforting screens that occur when things go wrong without destroying user data.,"Keep all user input safe; provide a clear path to resolution and use human, positive language.",Do not use 'Blue Screen of Death' style jargon; never delete user work due to a form error.,Error Prevention / Conversion,Critical
Thumb Zone Optimization,Placing primary controls within the natural sweeping arc of a user's thumb.,Place primary actions and navigation near the bottom of the screen for large mobile devices.,Avoid placing critical navigation (like 'Back' or 'Purchase') in the top-left 'Ow' zone.,Mobile Ergonomics,Critical
Proper Product Data is Vital to E-Commerce Usability,"Consistency in structured data, accurate product tags, and complete product information.",Develop automated and manual verification processes; harmonize product data from different suppliers; scan for missing thumbnails; printed site-hierarchy trees.,Store product specs as unstructured blobs of text; rely solely on machine-generated categories; use vendor-supplied naming inconsistencies without post-processing.,List Layout / Category & Search,Harmful
Which Attributes to Include in the List Item,Providing enough info to decide whether to skip or explore a product.,"Include price, thumbnail, title/type, variations, and user ratings; add 1-3 category-specific attributes (e.g., dimensions for bags).",Overload the list item with too much information; use a 'one size fits all' attribute set for all categories.,List Items / Information scent,Harmful
Product Variations as One or Multiple List Items,"Strategy for displaying color, size, or material versions of a single product.","Combine variations into a single list item for minor or non-visual differences; display separate list items for meaningful visual differences (patterns, textures).",Clutter the list by showing every size or format as a separate item; fail to link variations in the database.,List Items,Harmful
Include Product Attributes Consistently Across List Items,Ensuring comparability between items in the same list.,"Explicitly state when an attribute is unavailable rather than hiding it; harmonize measurements (e.g., all in cm).","Show specs only for some products; use inconsistent labeling (e.g., 'Height' vs. 'Depth') for similar products.",List Items,Harmful
Product Specifications Should Be Separate Entities,Structuring information for scannability.,Distinguish product type from name using font weights or colors; use bullet points for key features.,"Mix brand, type, and specs into a single unstructured text blob in the title.",List Items / User Interface,Harmful
Clearly Indicate Product Unavailability,Preventing detours to products that cannot be shipped or bought.,"Use high-contrast badges (e.g., 'Sold Out'); state when the item will be back in stock; mention pre-order options.","Use small, easily overlooked text labels; hide unavailability until the user reaches the product page.",List Items / User Interface,Harmful
Always Have Thumbnails for All List Items,Visual anchors for product assessment.,Ensure every single list item has an image; prioritize image quality.,Show a 'No image available' placeholder; expect users to click items without a preview.,List Items / Product Thumbnails,Harmful
Avoid 'Quick Views',Removing intermediary steps that confuse site hierarchy.,Invest in better list item design and larger thumbnails instead; make the Quick View a gallery if it must exist.,Place the Quick View button in the middle of the thumbnail where it causes accidental clicks; make the Quick View look exactly like a product page.,List Items / Hover & Hit Areas,Harmful
Avoid Implementing Filter Attributes as Category Scopes,Distinction between hierarchy (mutually exclusive) and filters (combinable).,Implement attributes like 'material' or 'season' as filters; use categories only for distinct product types with unique spec sets.,Force users into silos like 'Mummy Shape Sleeping Bags' vs 'Square Shape' categories.,Filtering / Scope & Logic,Harmful
Allow Users to Combine Multiple Filter Values of the Same Filter Type,Multi-select capabilities within groups like color or brand.,Use 'OR' logic for values within a type; use checkboxes to signal that multiple items can be selected.,Reload the page and clear selections when a second value in the same group is clicked.,Filtering / Scope & Logic,Harmful
Diversity-Based 'Relevance' Should Be the Default Sort Type,Ensuring the first page represents the full breadth of a category.,"Show 1-2 products of each major sub-type in the first 20 results; use a matrix of sales, ratings, and views.",Sort by price by default; allow a single popular sub-brand to dominate the entire first page of results.,Sorting,Harmful
Inferring type of site,First-time users rely on homepage content and main navigation to determine site type and product breadth.,Manifest the breadth of the product catalog by ensuring a broad selection of different product types are featured with images or thumbnails.,"Don't feature only a small or overly narrow selection of product types on the homepage, as users may assume the site doesn't carry other items.",Homepage,Harmful
Filters vs. categories,Categories are mutually exclusive hierarchy parts; filters narrow lists by combining attributes.,"Implement product type, brand, and style as filters when attributes are shared. Use categories to create defined scopes for specific filtering.","Don't implement product attributes as mutually exclusive categories, as this prevents users from mixing criteria (e.g., 'down' and 'mummy').",Category Taxonomy,Harmful
Avoid redundant and overlapping categories,Ambiguity between options confuses users and damages brand trust.,Manually plan and agree upon the site taxonomy. Group symptoms or solutions separately rather than combining them into vague categories.,Don't use machine-generated or raw manufacturer categorization without merging and renaming. Avoid identical names like having two 'Sports' categories.,Category Taxonomy,Harmful
Have compatibility-based product list pages,"Users struggle to verify compatibility for technical accessories (e.g., camera cases, laptop chargers).",Create unique permanent pages for all compatible accessories for specific models/series. Cross-link these from product and cart pages.,Don't suggest products as 'recommended' unless compatibility is verified or the source category is linked.,Category Taxonomy,Harmful
Avoid relying solely on thematic categories,Purely thematic navigation breaks the mental model of browsing by product type.,"Ensure the main navigation supports finding items by type (e.g., 'Jackets', 'Shoes').","Don't use only featured, thematic, or brand-based links in the main navigation.",Category Taxonomy,Harmful
The main navigation categories should be the first level of product categories,Hiding categories behind a single 'Products' link adds a needless layer and hinders site inference.,Place top-level product categories in the permanently visible main navigation bar.,"Don't use a single navigation item like 'Products' or 'Catalog' to house the entire taxonomy, as it causes double-hover issues.",Main Navigation,Harmful
Have unique 'category thumbnails',Users often mistake category thumbnails for specific products.,Crop thumbnails so they don't depict products in their entirety or use multi-product images to show category breadth.,"Don't depict a single specific product clearly, as users may think the link leads to that item only. Avoid thumbnails of products in packaging.",Sub-Category Pages,Harmful
Avoid dividing or sub-dividing product lists,Users baffle at divided lists and often fail to realize they are viewing only a fraction of the selection.,Display featured products in 1-2 rows without pagination or sliders and link to the source category.,Don't use embedded product sliders or tabs on sub-category pages. Don't divide product lists into thematic sections.,Sub-Category Pages,Harmful
The list layout should match the product type,Spec-driven vs. Visually-driven products require different information density.,"Use grid-view for visually driven industries (apparel, furniture) to allow for large thumbnails. Use list-view for spec-driven products (electronics, appliances).","Don't use small thumbnails for visually driven products, as it increases pogo-sticking.",Product Lists,Harmful
Default sort type should indicate category breadth,Initial results shape the user's perception of category boundaries.,"Use a default 'Relevance' sort that combines sales data, pageviews, and product type diversity.","Don't sort by 'Best Selling' by default if it clusters only one product type (e.g., all Star Wars toys) at the top.",Product Lists,Harmful
Equitable Use,The design is useful and marketable to people with diverse abilities.,Provide the same means of use for all users: identical whenever possible; equivalent when not.,Avoid segregating or stigmatizing any users.,Universal Design Principle 1,High - Essential for conversion across diverse user segments.
Consistency in Experience,Replicating the same basic experience across different devices.,"Keep content, flow, structure, and core feature set consistent across the ecosystem.",Avoid disjointed UIs that make the service feel like a collection of separate tools.,Multi-device/Cross-platform,High - Maintains user trust and facilitates seamless cross-device shopping.
Automated Exercise of Choice (Cheating),Eliminating work required of the user beyond giving consent.,Use intelligent defaults and automate repeated actions after initial informed consent.,Don't use behind-the-scenes trickery; always ensure user consent is obtained first.,Behavioral Economics/Strategy,High - Dramatically increases task completion by removing friction.
Welcoming Changing Requirements,"Harnessing change for the customer's competitive advantage, even late in development.",Solicit and act on late-cycle customer feedback; treat changes as helpful information.,Do not resist changes or defer them to unspecified future releases just to stick to a plan.,Agile Principle 2,High - Ensures the product remains relevant in a fast-moving market.
Frequent Delivery,"Deliver working software frequently, from a couple of weeks to a couple of months.",Provide working code for usability testing early in the cycle.,Do not rely exclusively on rough prototypes until the end of the release cycle.,Agile Principle 3,High - Increases opportunities for research and design validation.
Face-to-Face Conversation,The most efficient method of conveying information is in-person discussion.,Use whiteboards for collaborative design; use video chat if teams are remote.,Do not rely solely on email or instant messaging for complex design concepts.,Agile Principle 6,High - Essential for shared understanding of complex design problems.
Working Software as Progress,Working software is the primary measure of progress.,Measure UX progress by the implementation of research findings into the live product.,Do not judge UX success solely by the number of wireframes or artifacts produced.,Agile Principle 7,High - Focuses effort on what the customer actually experiences.
What you see isn't what your brain gets,The brain constantly interprets visual input and creates shortcuts based on past experience and expectations.,Persuade people to see things in a certain way based on presentation.,Assume people will see what you think they will see on a web page.,Vision/Cognitive,High
Peripheral vision is used more than central vision to get the gist of a scene,Peripheral vision provides the overall context (gist) of what a user is looking at.,Make sure the information in the periphery communicates the purpose of the page and site.,Put animation or blinking elements in the peripheral vision if you want users to concentrate on the center.,Vision,High
There's a special part of the brain just for recognizing faces,Faces are processed more quickly than other objects via the fusiform face area (FFA).,Use faces looking at the user for emotional impact; use faces looking at a product to direct attention.,Assume people with autism will process faces through the same channels as non-autistic users.,Social/Vision,High
People scan screens based on past experience and expectations,Users look at the center of the screen and avoid edges; they follow cultural reading patterns.,Put the most important information in the top third or middle of the screen.,Put important information at the edges of the screen.,Web/Vision,High
People see cues that tell them what to do (Affordances),"Physical or visual cues (shadows, shading) suggest how to interact with an object.",Use shading to show when an object is chosen or active; use button-like shadows.,"Provide incorrect affordance cues (e.g., a handle that says 'Push' but looks like a 'Pull').",UI Design/Web,High
People can miss changes in their visual fields,Inattention blindness occurs when users fail to notice large changes if they are focused on a different task.,Use visual cues like blinking or sounds to ensure users notice a critical change.,Assume people will see something on a screen just because it appeared there.,Vision/Attention,High
Color blindness accessibility,"9% of men and 0.5% of women have color deficiency, most commonly red-green.",Use redundant coding (color + line thickness/shapes); check sites with color-blindness filters.,Rely solely on color to give specific meaning.,Accessibility,High
Reading and comprehending are different,"Readability is affected by existing knowledge, titles, and text structure.",Provide meaningful titles and headlines; use simple words and shorter syllables.,Assume people will remember specific information just because they read it.,Cognitive/Content,High
Font size matters for readability,Text must be large enough to read without strain; x-height affects perceived size.,Use a large point size and a font with a large x-height for online viewing.,"Use small fonts that require users to squint, as this creates a negative mood.",Typography/Accessibility,High
Short-term memory is limited,Working memory is fragile and easily disrupted by sensory input.,Keep information in one place so users don't have to remember it across pages.,Ask users to do another task while holding information in working memory.,Cognitive/Memory,High
People remember only four items at once,"The true limit of working memory is four items, not seven.",Chunk information into groups of no more than four items.,List more than four items in a single group without further categorization.,Cognitive/Memory,High
Recognition is easier than recall,It is easier for the brain to recognize information using context than to pull it from memory.,Use icons and menus to eliminate memory load; provide context.,Require users to remember and type in information from a previous screen.,UI/Cognitive,High
Progressive disclosure improves focus,Providing only the information needed at the moment prevents cognitive overload.,Show people what they need when they need it; use clicks to reveal more detail.,Count clicks as the primary metric of success; the clarity of the path is more important.,UX Strategy/Design,High
People are more motivated as they get closer to a goal,The goal-gradient effect states that behavior accelerates as the goal comes into sight.,"Show progress bars; provide an 'illusion of progress' (e.g., a 10-stamp card with 2 pre-filled).",Ignore the post-reward resetting phenomenon where motivation drops after a goal is met.,Motivation/Ecommerce,High
Variable rewards are powerful,Unpredictable rewards (variable ratio) result in the highest rate of behavior repetition.,"Use unpredictable rewards for maximum engagement (e.g., slot machine mechanics).",Use fixed rewards if you want to maintain long-term information-seeking behavior.,Psychology/Motivation,High
People are inherently lazy,"Humans 'satisfice,' meaning they look for the good-enough solution rather than the optimal one.",Design for scanning; use white space and large fonts to make a task look 'easy'.,Provide too many options that require heavy analysis.,UX/Ecommerce,High
Primary Call to Action (CTA) Distinction,The most important actionable element tied to sales must be visually unique.,Use a unique color or style; ensure high contrast against the background; use actionable wording.,Do not use more than one CTA on a single page as it divides user attention and lowers conversion; do not make it too small or so big it causes 'banner blindness'.,Ecommerce / Web / Mobile,High (User conversion)
Button Hierarchy and Layout,Placement of buttons should follow natural scanning patterns to facilitate the flow to checkout.,"Place buttons below descriptive elements; align them to the sides where users expect them; follow the F-pattern (top to bottom, left edge).","Do not place the strongest visual element in a position that requires the eyes to travel back and forth excessively, which slows processing.",Ecommerce / Web,High (User conversion)
Reach-Based Navigation,Navigation patterns should accommodate how users physically hold and reach across mobile devices.,Use bottom tab menus for high accessibility; place primary controls in areas easily accessible by the thumb.,Do not place primary navigation in the top-left or top-right corners (like hamburger menus) as they are the least accessible for one-handed use.,Mobile,High (Task completion)
Unified,Each piece is part of a greater whole and should contribute positively to the system at scale. No isolated features or outliers.,Ensure every component addresses all four design principles to maintain a cohesive ecosystem.,Do not create isolated features or design elements that do not fit into the broader system architecture.,Airbnb Design Language System (DLS),High
Universal,Agnostic to device and accessible to all; designed for a global family across 27 languages.,Consider the entire extended family of users and ensure cross-platform compatibility.,Do not design for a single device type or ignore accessibility and language requirements.,Airbnb Design Language System (DLS) / Accessibility,High
"Timeless, not cutting edge",Prioritizes longevity and proven utility over current stylistic trends.,Adopt technology or design elements only if they serve a proven purpose for as many users as possible.,Do not introduce stylistic features like parallax effects just because they are trendy.,TED / Brand Longevity,High
Only one number 1 priority,Clarity of focus on a single primary action or piece of information.,Explicitly decide what you want the user to see and do first on a given screen.,Do not present multiple competing priorities that confuse the user's focus.,Clarity / UX Strategy,High
Make it unbreakable,Designed for exploration where errors or mis-taps are impossible or non-destructive.,"Design interfaces to be as resilient as a children's toy, encouraging user exploration.",Do not create fragile layouts where a single mis-click causes frustration or lost progress.,Pinterest / Interaction Design,High
Start with needs,"Design is based on research, data, and actual user requirements rather than assumptions.",Analyze data and talk to users to identify the real problem before building a solution.,Do not make assumptions about what the user wants without empirical evidence.,GDS (Government Digital Service) / Research,High
Clarity over Beauty,The hierarchy of priorities where clarity and efficiency always precede aesthetic concerns.,Ensure the message of a talk or item is fully legible even if it requires a less 'perfect' layout.,Do not clip or hide important content (like long titles) just to maintain a clean visual look.,Salesforce / TED / Hierarchy,High
Simple Motion,Clear and to the point; easy-to-follow actions that do not distract from the primary task.,Use motion to simplify the user experience and respect the user's time.,Do not use motion that distracts from the primary task.,Interface Animation / Brand Messaging,High
Purposeful Animation,Animation used with intention to surface connections between states or provide feedback.,Use animation to draw attention to important details or help users reach goals.,Do not use animation without a functional purpose.,Spectrum Design System / General Ecommerce,High
Seamless Motion,Fits naturally into the experience without creating distraction.,Use just enough motion to get the intention across and no more.,Avoid excessive motion that creates visual noise.,Spectrum Design System,High
Productive Motion,Creates a sense of efficiency and responsiveness while remaining subtle.,"Use for micro-interactions like button states, dropdowns, and data table rendering.",Do not use dramatic or slow animations in task-heavy productivity contexts.,Carbon Design System / Task Completion,High
Coherent Transition Logic,Entrances should inform exits to establish spatial orientation.,"Animate objects back to their origin point (e.g., if it entered from bottom, exit to bottom).","Do not have objects disappear in a direction unrelated to their entry, which confuses the user's mental map.",Choreography / Navigation,High
Ideal State Focus,The 'zenith' of the product's potential with maximum value and content.,Start design with the ideal state to set the tone for all other states.,Do not design empty or error states without first defining the ideal functional state.,UI Stack / Product Design,High
Helpful Empty States,"The state seen when there is no data to show (first use, cleared data, or no results).",Tell the user exactly which button to press and why; use stand-in content to show potential.,Avoid saying 'Nothing to see here'; do not use oppressive 'coach marks' that cover the UI.,Onboarding / User Engagement,High
Visual Weight and Hierarchy,Using contrast and size to direct attention to important elements.,Make more important things bigger and higher contrast.,Don't 'make the logo bigger' unless it is the most important element for the user's current goal.,Visual Design Principles,High
Humane Interface Design,Designing for 'smart but busy' users and being considerate of human frailties.,Focus on 'intermediates' who want to get a task done quickly without feeling like a novice.,Do not force users to memorize abstract icons; use clear labels where possible.,UX Philosophy,High
Hierarchy-First Action Design,"Distinguishing between primary, secondary, and tertiary actions to guide users effectively.","Use solid, high-contrast background colors for primary actions to make them obvious.","Don't design actions based purely on semantics (e.g., making every 'delete' button big and red if it's not the primary action).",Ecommerce UI Elements / Buttons,High
Implicit Data Labeling,Reducing clutter by removing redundant labels when formats or context are clear.,"Use formatting (like $ or @) to imply the nature of data; combine labels into values (e.g., '12 left in stock').",Don't use a 'label: value' format as a default; it gives equal emphasis to all data and creates noise.,Data Presentation / Product Pages,High
Colorized Contrast Reinforcement,Ensuring text legibility over busy background images in hero sections.,Add a semi-transparent overlay (dark for light text) or use a text shadow with a large blur radius.,Don't slap a headline over a raw hero image without checking contrast across both light and dark areas.,Ecommerce Hero Banners,High
Empty State Optimization,Turning empty views into opportunities for engagement and conversion.,"Incorporate illustrations and clear call-to-action buttons (e.g., 'Add First Item') in empty states.",Don't settle for 'No items found' text; it is boring and provides no path forward for the user.,Ecommerce Cart / Wishlists,High
User-Centric Design,Guide design decisions by finding out user needs and goals.,Structure products so tasks can be carried out as quickly as possible; bear in mind what is suitable for the specific demographic.,"Do not ignore the technical savvy or age of the target audience (e.g., avoid flat interfaces for non-tech-savvy older users).",General Ecommerce / UX,High
Accessibility,"Inclusive design for all users, including those with sight, hearing, touch, or cognitive impairments.",Build accessibility in from the start; use larger legible text; associate form fields with labels; add alt text to images.,"Do not rely on one sense alone (e.g., sound-only alerts); do not assume accessibility only benefits people with disabilities.",Universal / Compliance (WCAG/ADA),High
Worst-Case Scenario Planning,Ensuring the product doesn't break under real-world data stress.,"Check designs with long blocks of text, translations, and missing or varied images.",Do not only design for 'best-case' or pretty artwork that will break in production.,Development / Content Strategy,High
Visual Hierarchy,"Using layout, color, and typography to influence the order in which information is consumed.","Grab attention with high contrast and large, bold type; push less important items back with low contrast.","Do not ignore reading patterns (e.g., top-left for Western cultures).",Visual Design,High
Typography Legibility,Ensuring text is comfortable to read on digital screens.,Use at least 12pt (16pt/1em recommended); set line spacing (leading) to 1.5x font size; keep line lengths between 45-75 characters.,Avoid serif fonts for visually impaired users; don't use all-caps for long paragraphs; don't use moving or blinking text.,Visual Design / Accessibility,High
Error Prevention & Recovery,Minimizing mistakes through design and providing ways to fix them.,Use warnings and confirmations for hazardous actions; provide 'undo' or 'restore' options; place labels above input fields.,Do not allow users to cruise through hazardous procedures on 'autopilot'; don't hide labels inside input fields once data is entered.,Interaction / Ecommerce,High
Touch Target Sizing,Ensuring interface elements are easily operable by human fingers.,Use a minimum touch area of  $7\text{mm} \times 7\text{mm}$ ; leave at least a 2mm gap between items; make thumb-operated items 25mm wide.,"Do not place interactive elements too close together, leading to accidental presses.",Mobile / Tablet,High
Navigation Consistency,Maintaining predictable movement and placement across the application.,Position navigational elements in the same place on all screens; clearly title pages; minimize steps (aim for within 4 pages).,Do not switch button actions in different parts of the app; avoid making pages so long users 'endlessly flick up'.,Information Architecture,High
Feedback and State Reassurance,Confirming user actions through visual or auditory cues.,Use spinners or progress messages for loading states; use pressed states for buttons; provide feedback in multiple forms (visual + sound).,Do not leave a user wondering if an app has frozen during processing.,Interaction Design,High
Flexibility in Use,The design accommodates a wide range of individual preferences and abilities.,Provide choice in methods of use; accommodate right- or left-handed access and usage.,Not in source,Universal Design Principle 2,High - Impacts task completion efficiency for diverse users.
Tolerance for Error,The design minimizes hazards and adverse consequences of accidental actions.,"Arrange elements to minimize hazards and errors: most used elements, most accessible; hazardous elements eliminated, isolated, or shielded.",Not in source,Universal Design Principle 5,High - Prevents accidental checkout abandonment or incorrect orders.
"When to Use a List View, a Grid View, or Both",Optimizing product presentation based on whether a purchase is spec-driven or visually-driven.,"Use List View for spec-driven products (electronics, appliances); use Grid View for visually-driven products (apparel, furniture); switch automatically based on context.",Use a one-size-fits-all approach for mixed product catalogs; hide prices in mobile grid views.,List Layout / Mobile & Desktop,Disruptive
Show Total Number of Items in the Currently Displayed Product List,Visibility of total result count to gauge search query or category scope quality.,"Integrate the number into the page header or product list title; show count both above and below the list; use explanatory labels (e.g., 'x products match').",Position count where it can be mistaken for pagination links; hide the total count from plain sight.,List Layout,Disruptive
Have Hierarchy-Based Breadcrumbs in Category Product Lists,Sense of space and site position for users traversing hierarchies.,Include hierarchy-based breadcrumbs on category pages; consider 'Sideways Breadcrumbs' for sibling category navigation.,Provide breadcrumbs only on product pages.,List Layout,Disruptive
Adopt Novel Navigation Methods Cautiously,Impact of non-standard scrolling or navigation on focus.,Use novel navigation only for inspirational storytelling content; stick to standard scrolling for product lists.,Use parallax scrolling or non-standard methods for actual product selection lists.,List Layout,Disruptive