Principles,Main characteristics,Do's,Don'ts,Other characteristics,Severity
Dieter Rams: Innovative,Good design must push technical boundaries and provide new solutions.,Utilize new technology to improve functionality; always seek new possibilities for expression.,Repeat existing forms without providing new utility; do not treat innovation as an end in itself.,10 principles of good design; Physical or digital products,5
Dieter Rams: Useful,"The primary purpose of a product is its utility (functional, psychological, and aesthetic).",Prioritize functional criteria and user utility; ensure design makes a product understandable and useful.,Ignore psychological or aesthetic utility; don't include features that do not serve the primary function.,10 principles of good design; User-centric utility,5
Dieter Rams: Understandable,Design clarifies the product's structure and makes it self-explanatory.,Make the product's function speak to the user; clarify the product's structure.,Rely on complex manuals for basic use; require high cognitive load for simple interactions.,10 principles of good design; Cognitive Load,5
Dieter Rams: Honest,"Does not make a product look more innovative, powerful, or valuable than it really is.",Be transparent and truthful about product capabilities and performance.,Manipulate the consumer with unfulfillable promises or false representations.,10 principles of good design; Ethics,5
Dieter Rams: Minimal,"Back to purity, back to simplicity; ""Less, but better.""",Concentrate on essential aspects only; strive for purity.,Burden the product with non-essentials or unnecessary complexity.,10 principles of good design; Simplicity,5
Dieter Rams: Aesthetic,The aesthetic quality of a product is integral to its utility and well-being.,"Create well-executed, beautiful, and harmonious objects.",Assume beauty is secondary to function; treat design as just visual style without purpose.,10 principles of good design; Visual Design,4
Dieter Rams: Durable,Avoids being fashionable and therefore never appears antiquated.,Design for longevity in both build and style; use high-quality materials.,Follow short-lived design trends or fads that lead to throwaway culture.,10 principles of good design; Sustainability,4
Dieter Rams: Detailed,Nothing must be arbitrary or left to chance; thoroughness and accuracy.,Ensure every detail is functional and precise; show care in the design process.,Leave loose ends or allow sloppy finishes in the final output.,10 principles of good design; Quality Control,4
Dieter Rams: Eco-friendly,Design contributes to the preservation of the environment.,Minimize resource use and pollution throughout the product lifecycle.,Use materials that cannot be recycled or are toxic; design for a throwaway society.,10 principles of good design; Environmental Impact,4
Dieter Rams: Unobtrusive,"Products are tools, not decorative objects; design should be neutral and restrained.",Keep design discreet; leave room for user self-expression.,Over-design products to look like works of art; overwhelm users with loud elements.,10 principles of good design; Subtlety,3
SOLID: Single Responsibility Principle (S),A class or module should have only one reason to change.,Keep modules focused on one function; encapsulate responsibility entirely.,Create 'God Objects' that handle multiple unrelated tasks.,Software Architecture; SOLID Framework,5
SOLID: Dependency Inversion Principle (D),"Depend upon abstractions, not concretions.",Use dependency injection; describe interfaces for low-level operations in business terms.,Hard-code dependencies between high-level and low-level modules.,Software Architecture; SOLID Framework,5
SOLID: Open/Closed Principle (O),"Entities should be open for extension, but closed for modification.","Use inheritance, interfaces, or composition to add behavior.",Modify core source code every time a new requirement arises.,Software Architecture; SOLID Framework,4
SOLID: Liskov Substitution Principle (L),Objects should be replaceable with instances of their subtypes without breaking code.,Ensure derived classes honor the contract of the base class; extend base behavior safely.,Break expected behavior in subclasses; throw unexpected exceptions.,Software Architecture; SOLID Framework,4
SOLID: Interface Segregation Principle (I),Many client-specific interfaces are better than one general-purpose interface.,"Split large interfaces into smaller, specific, and narrow ones.",Force clients to depend on methods they do not use (fat interfaces).,Software Architecture; SOLID Framework,4
Universal Design: Equitable Use,The design is useful and marketable to people with diverse abilities.,Provide the same means of use for all users; make it appealing.,Segregate or stigmatize any users.,7 Principles of Universal Design; Accessibility,5
Universal Design: Simple and Intuitive Use,"Easy to understand regardless of user experience, knowledge, or language skills.",Eliminate unnecessary complexity; be consistent with user expectations.,Require high literacy or high cognitive load for basic navigation.,7 Principles of Universal Design; Accessibility,5
Universal Design: Perceptible Information,Communicates necessary info effectively regardless of ambient conditions.,"Use different modes (pictorial, verbal, tactile); ensure high contrast.",Rely on color or a single sense alone to convey critical meaning.,7 Principles of Universal Design; Accessibility,5
Universal Design: Tolerance for Error,Minimizes hazards and adverse consequences of accidental actions.,"Provide warnings, fail-safe features, and easy undo options.",Design tasks that lead to irreversible or catastrophic errors if misclicked.,7 Principles of Universal Design; Accessibility,5
Universal Design: Flexibility in Use,Accommodates a wide range of individual preferences and abilities.,"Provide choice in methods of use (e.g., right/left handed access).",Assume a single user speed or accuracy level; force a single interaction path.,7 Principles of Universal Design; Accessibility,4
Universal Design: Size and Space for Approach and Use,Appropriate size and space provided regardless of body size or mobility.,Provide clear line of sight to elements; make reach comfortable for any user.,Obstruct the line of sight; ignore wheelchair access or reach ranges.,7 Principles of Universal Design; Accessibility,4
Universal Design: Low Physical Effort,Can be used efficiently and comfortably with minimum fatigue.,Allow user to maintain a neutral body position; minimize repetitive actions.,Require excessive force or sustained physical effort.,7 Principles of Universal Design; Accessibility,3
UX Strategy: Business Strategy,The top-line vision and competitive advantage for long-term sustainability.,Align design goals with corporate KPIs; identify sustainable revenue streams.,Formulate plans without iterating; design in a vacuum ignoring business goals.,4 Tenets of UX Strategy; Product Management,5
UX Strategy: Value Innovation,Simultaneous pursuit of differentiation and low cost to create a leap in value.,Solve problems in a way that makes competition irrelevant (Blue Oceans).,Compete purely on price in red oceans; add features just to copy others.,4 Tenets of UX Strategy,5
UX Strategy: Validated User Research,Verifying assumptions with target users through direct feedback.,Use the Build-Measure-Learn loop; build MVPs to test market demand.,Assume you know what users want; design without direct user input.,4 Tenets of UX Strategy; Lean Startup,5
UX Strategy: Killer UX Design,Creating frictionless experiences that allow users to easily accomplish goals.,Collaborate with stakeholders at inception; focus on the key user flow.,"Act like a ""design hero""; clutter interfaces with features that obscure tasks.",4 Tenets of UX Strategy,5
Quality Performance: Decision Making / Iterating,Making wise choices through evaluation and refining through cycles.,Use prototypes to fail fast; include stakeholders in evaluation.,Be paralyzed by indecision; use arbitrary standards for selection.,10 Attributes of Quality Design; Iterative Logic,5
Quality Performance: Problem Definition / Solution Validation,Mapping the user problem against the validity of the proposed fix.,Clearly define the user problem before building; interview clients for needs.,Solve a problem that doesn't exist; move to implementation without validation.,10 Attributes of Quality Design; Design Process Pairing,5
Quality Performance: Communication / Teamwork,Internal/external interactions focused on collaboration and information sharing.,Foster open dialogue; use shared artifacts like blueprints or design systems.,Work in isolated silos; avoid documentation of project outcomes.,10 Attributes of Quality Design; Collaboration Dynamics,4
Quality Performance: Prior Knowledge / Divergent Thinking,Idea generation based on research and creative exploration.,Apply existing principles; generate wide varieties of alternative solutions.,Lock onto the first idea found; ignore historical precedents or research.,10 Attributes of Quality Design; Cognitive Pairing,4
Quality Performance: Plan Execution / Professional Analysis,Implementing design with technical rigor and evaluating its success.,Define tasks and milestones clearly; audit design-code alignment.,Release unfinished work; produce plans that are difficult for others to follow.,10 Attributes of Quality Design; Operational Pairing,4
Emerging Tech: Thinking Systemically,Viewing touchpoints as part of a broader connected ecosystem.,Map out dependencies between devices; design for stackability.,Focus on isolated interfaces; ignore the backend or connected sensors.,8 Design Tenets for Emerging Technologies; IoT / Robotics,5
Emerging Tech: Connecting People with Technology,Using technology as a bridge/connective tissue between humans.,Humanize complex technical interactions; augment labor with technology.,Let tech become a barrier to social value; replace labor without considering meaning.,8 Design Tenets for Emerging Technologies; IoT / Robotics,5
Emerging Tech: Learning Constantly,"Systems and designers must adapt to new data, contexts, and domains.",Implement machine learning feedback loops; iterate based on system data.,"Assume static environments; treat design as a ""one and done"" project.",8 Design Tenets for Emerging Technologies; IoT / Robotics,5
Emerging Tech: Working at a Variety of Scales,Design must work from micro-interactions up to macro-systems/cities.,Ensure data integrity and consistency across all hardware and software nodes.,Optimize for one screen size only; ignore ergonomic constraints of small devices.,8 Design Tenets for Emerging Technologies; IoT / Robotics,4
Memorable Experiences: Simple (SUCCES),Finding the core of an idea to make it stick.,Strip away everything but the essential message; use analogies.,Bury the lead; overcomplicate the message with needless data.,SUCCES Framework; Experience Design,5
Memorable Experiences: Stories (SUCCES),Getting people to act through narrative and mental simulation.,Use case studies; frame experiences as a hero's journey with a start and end.,Just list facts without context; present data without narrative context.,SUCCES Framework,5
Memorable Experiences: Concrete (SUCCES),Using sensory details and actionable info to lighten cognitive load.,"Use specific, real-world examples and sensory language.","Rely on abstract concepts, vague jargon, or high-level abstractions.",SUCCES Framework,4
Memorable Experiences: Credible (SUCCES),"Building trust through authority, details, or statistics.",Use statistics carefully; provide 'vivid' details and social proof.,"Make wild, unsubstantiated claims; use statistics without context.",SUCCES Framework,4
Memorable Experiences: Emotional (SUCCES),Making the audience care by appealing to self-interest or identity.,Give the device a personality; use human connections and humor.,"Stay purely analytical, cold, or clinical.",SUCCES Framework,4
Memorable Experiences: Unexpected (SUCCES),Grabbing attention by breaking patterns or defying expectations.,"Use surprise to spark curiosity; include ""Easter eggs"" or happy surprises.","Be boring, overly predictable, or repetitive.",SUCCES Framework,3
Lyft: Nail the Basics,"Focus on foundational stability, reliability, and efficiency.",Ensure core features like booking work perfectly every time; prioritize speed.,Prioritize flashy/vanity features over system uptime and utility.,Lyft Core Principles; Enterprise Design System,5
Lyft: Build Confidence,Establishing trust through transparency and safety.,"Provide clear feedback, transparent pricing, ETAs, and safety markers.",Hide critical data; use dark patterns; hide information that causes anxiety.,Lyft Core Principles; Enterprise Design System,5
Lyft: Be Unique,Expressing brand identity and personality through design.,"Use distinct colors, custom illustrations, and a friendly voice/tone.",Blindly copy competitor UI patterns; look exactly like every other utility app.,Lyft Core Principles; Enterprise Design System,3
Adobe Spectrum: Purposeful,"Motion highlights hierarchy, relationships, and important interactions.",Show how new content relates to previous screens; direct attention.,Use motion without clear functional intent or for purely decorative reasons.,Adobe Spectrum Motion; Motion Design,4
Adobe Spectrum: Seamless,"Transitions are fluid, unbroken, and natural.",Coordinate simultaneous screen changes; ensure high frame rates.,"Allow stuttering, lagging, or janky transitions that distract users.",Adobe Spectrum Motion; Motion Design,4
Adobe Spectrum: Intuitive,"Movement should feel natural, expected, and mirror real-world physics.",Use ease-in and ease-out curves; base timing on user expectations.,Violate laws of spatial consistency; create movements that defy gravity.,Adobe Spectrum Motion; Motion Design,3
Microsoft Fluent: Functional,Motion must serve a purpose and provide feedback.,Use motion to guide user focus to new tasks and direct attention.,Add decorative animations that slow the user down or cause overload.,Microsoft Fluent Motion; Motion Design,4
Microsoft Fluent: Physical,"Motion feels like it has weight, inertia, and friction.",Apply realistic physics and easing to transitions; relate to interaction velocity.,"Use linear, robotic timing; use jerky or disconnected transitions.",Microsoft Fluent Motion; Motion Design,3
Microsoft Fluent: Continuous,Elements should maintain flow and spatial context between states.,Use shared element transitions; maintain orientation during navigation.,Use abrupt cuts or jarring transitions that disorient the user.,Microsoft Fluent Motion; Motion Design,3
Microsoft Fluent: Contextual,Motion relates to the user's point of origin and environment.,Animate elements from their touch/click point; adjust for viewport size.,Trigger animations from random locations; use 'one-size-fits-all' motion.,Microsoft Fluent Motion; Motion Design,3
Agile Value: Customer Collaboration,Engaging the customer as a partner in the design process.,Use personas and participatory design to involve the user.,Rely solely on rigid initial requirements or contract negotiation.,Agile Manifesto,5